,0
train_rnn_model_lossMSE_dropout0.3_seqlen24_unit64_activationrelu,"(2639.571945065015, 2701.6743852018967, 26.771567399866182)"
val_rnn_model_lossMSE_dropout0.3_seqlen24_unit64_activationrelu,"(2664.7921265205837, 2723.4336648123144, 26.84885999067575)"
test_rnn_model_lossMSE_dropout0.3_seqlen24_unit64_activationrelu,"(2687.3348651206657, 2740.6600473195995, 26.382115100173227)"
train_rnn_model_lossMAPE_dropout0.3_seqlen24_unit64_activationrelu,"(2483.0036656767265, 2540.190219961315, 25.605811900256985)"
val_rnn_model_lossMAPE_dropout0.3_seqlen24_unit64_activationrelu,"(2512.609511116759, 2566.470877602114, 25.71972016790827)"
test_rnn_model_lossMAPE_dropout0.3_seqlen24_unit64_activationrelu,"(2536.1329622730273, 2584.380328736388, 25.217443731468357)"
train_rnn_model_lossMAE_dropout0.3_seqlen24_unit64_activationrelu,"(3078.2894538496184, 3131.835800866086, 29.148880998413816)"
val_rnn_model_lossMAE_dropout0.3_seqlen24_unit64_activationrelu,"(3109.9604200667986, 3161.6129321664484, 29.24476791258634)"
test_rnn_model_lossMAE_dropout0.3_seqlen24_unit64_activationrelu,"(3132.2267150600205, 3177.409522057251, 28.9278675200187)"
train_conv1d_model_lossMSE_dropout0.3_seqlen12_unit64_activation:relu,"(1658.783760635167, 1984.3609443318708, 23.157125246543984)"
val_conv1d_model_lossMSE_dropout0.3_seqlen12_unit64_activation:relu,"(1654.2930824035923, 1973.9551733997778, 23.20216589742055)"
test_conv1d_model_lossMSE_dropout0.3_seqlen12_unit64_activation:relu,"(1657.1125629303117, 1971.2371712111471, 22.27132680139772)"
train_conv1d_model_lossMAPE_dropout0.3_seqlen12_unit64_activation:relu,"(11116.795517121058, 11353.53799516294, 99.166737344414)"
val_conv1d_model_lossMAPE_dropout0.3_seqlen12_unit64_activation:relu,"(11152.955220317404, 11386.537037496882, 99.16943292525431)"
test_conv1d_model_lossMAPE_dropout0.3_seqlen12_unit64_activation:relu,"(11196.666521687268, 11405.56744471517, 99.17589834361222)"
train_conv1d_model_lossMAE_dropout0.3_seqlen12_unit64_activation:relu,"(11116.802993927698, 11353.545316064297, 99.16680659157353)"
val_conv1d_model_lossMAE_dropout0.3_seqlen12_unit64_activation:relu,"(11152.962697124045, 11386.544360925463, 99.16950194840062)"
test_conv1d_model_lossMAE_dropout0.3_seqlen12_unit64_activation:relu,"(11196.673998493909, 11405.574784578972, 99.17596682946056)"
train_conv1d_model_lossMSE_dropout0.3_seqlen24_unit64_activation:relu,"(599.6344096701984, 821.8029844897518, 20.569908817869315)"
val_conv1d_model_lossMSE_dropout0.3_seqlen24_unit64_activation:relu,"(599.2884572207655, 808.4122756032654, 20.793243368327904)"
test_conv1d_model_lossMSE_dropout0.3_seqlen24_unit64_activation:relu,"(623.4536334033426, 827.6722339557202, 19.518000233540977)"
train_conv1d_model_lossMAPE_dropout0.3_seqlen24_unit64_activation:relu,"(11116.795494232874, 11353.53797275202, 99.16673713243334)"
val_conv1d_model_lossMAPE_dropout0.3_seqlen24_unit64_activation:relu,"(11152.95519742922, 11386.537015078224, 99.16943271395797)"
test_conv1d_model_lossMAPE_dropout0.3_seqlen24_unit64_activation:relu,"(11196.666498799084, 11405.5674222462, 99.17589813396219)"
train_conv1d_model_lossMAE_dropout0.3_seqlen24_unit64_activation:relu,"(953.952086008847, 1325.194764327623, 20.221457947967842)"
val_conv1d_model_lossMAE_dropout0.3_seqlen24_unit64_activation:relu,"(943.3211818747325, 1274.3816981207062, 20.34779043614432)"
test_conv1d_model_lossMAE_dropout0.3_seqlen24_unit64_activation:relu,"(929.0518644986088, 1270.1904654523173, 19.073282290763192)"
